accession	tree_name	organism	assembly	isolate	strain	serotype	segment	length	host	Taxonomy_ID	GenBank_Count
NC_044945.1	African_swine_fever_virus_Ken05_Tk1	African swine fever virus	GCF_003032905.1	Ken05/Tk1	Ken05/Tk1			191058		3426474	16067
NC_044946.1	African_swine_fever_virus_Ken06_Bus	African swine fever virus	GCF_003032915.1	Ken06.Bus	Ken06.Bus			184368		3426474	16067
NC_044947.1	African_swine_fever_virus_26544_OG10	African swine fever virus	GCF_003032925.1	26544/OG10				182906	Sus scrofa	3426474	16067
NC_044948.1	African_swine_fever_virus_Odintsovo_02_14	African swine fever virus	GCF_003032935.1	Odintsovo_02/14				189333	Sus scrofa	3426474	16067
NC_044949.1	African_swine_fever_virus_Warthog	African swine fever virus	GCF_003032945.1	Warthog				186528	Phacochoerus africanus	3426474	16067
NC_044950.1	African_swine_fever_virus_Warmbaths	African swine fever virus	GCF_003032955.1	Warmbaths				190773	Ixodoidea	3426474	16067
NC_044951.1	African_swine_fever_virus_Tengani_62	African swine fever virus	GCF_003032965.1	Tengani 62				185689		3426474	16067
NC_044952.1	African_swine_fever_virus_Pretorisuskop_96_4	African swine fever virus	GCF_003032975.1	Pretorisuskop/96/4				190324	Ornithodoros porcinus porcinus	3426474	16067
NC_044953.1	African_swine_fever_virus_Mkuzi_1979	African swine fever virus	GCF_003032985.1	Mkuzi 1979				192714	Ornithodoros	3426474	16067
NC_044954.1	African_swine_fever_virus_Malawi_Lil_20_1_1983	African swine fever virus	GCF_003032995.1	Malawi Lil-20/1 (1983)				187612	Ornithodoros	3426474	16067
NC_044955.1	African_swine_fever_virus_47_Ss_2008	African swine fever virus	GCF_003033005.1	47/Ss/2008				184638	Sus scrofa domesticus	3426474	16067
NC_044959.2	African_swine_fever_virus_ASFV_Georgia_2007_1	African swine fever virus	GCF_003047755.2	ASFV Georgia 2007/1				190584	Sus scrofa	3426474	16067
NC_044956.1	African_swine_fever_virus_Benin_97_1	African swine fever virus Benin 97/1	GCF_003047675.1	Benin 97/1				182284		3426474	16067
NC_044958.1	African_swine_fever_virus_E75	African swine fever virus E75	GCF_003047715.1		E75			181187		3426474	16067
NC_044957.1	African_swine_fever_virus_OURT_88_3	African swine fever virus OURT 88/3	GCF_003047695.1	OURT 88/3				171719		3426474	16067
NC_002058.3	Enterovirus_C	Enterovirus C	GCF_000861165.1	Human poliovirus 1 Mahoney	Human poliovirus 1 Mahoney			7440		3428505	15938
NC_002200.1	Mumps_orthorubulavirus	Mumps orthorubulavirus	GCF_000856685.1		Miyahara			15384		3052560	14594
NC_039199.1	Human_metapneumovirus	Human metapneumovirus	GCF_002815375.1	00-1				13350		3048148	13063
NC_006023.1	Bluetongue_virus_1	Bluetongue virus	GCF_000854445.3			10	1	3944		3431240	12842
NC_006014.1	Bluetongue_virus_3	Bluetongue virus	GCF_000854445.3				3	2772		3431240	12842
NC_006015.1	Bluetongue_virus_10	Bluetongue virus	GCF_000854445.3				10	822		3431240	12842
NC_006010.1	Bluetongue_virus_6	Bluetongue virus	GCF_000854445.3			10	6	1638		3431240	12842
NC_006007.1	Bluetongue_virus_8	Bluetongue virus	GCF_000854445.3			10	8	1125		3431240	12842
NC_006025.1	Bluetongue_virus_5	Bluetongue virus	GCF_000854445.3			10	5	1769		3431240	12842
NC_006022.1	Bluetongue_virus_7	Bluetongue virus	GCF_000854445.3	serotype 10	serotype 10		7	1156		3431240	12842
NC_006008.2	Bluetongue_virus_9	Bluetongue virus	GCF_000854445.3			10	9	1049		3431240	12842
NC_006024.2	Bluetongue_virus_4	Bluetongue virus	GCF_000854445.3			10	4	1980		3431240	12842
NC_007605.1	Human_gammaherpesvirus_4	Human gammaherpesvirus 4	GCF_002402265.1		B95-8			171823	Homo sapiens	3050299	12689
NC_009334.1	Human_herpesvirus_4_type_2	Human herpesvirus 4 type 2	GCF_000872045.1		AG876			172764	Homo sapiens	3050299	12689
NC_005148.1	Porcine_circovirus_2_AUT1	Porcine circovirus 2	GCF_000862765.1	AUT1				1768		3048279	12431
NC_006232.1	Porcine_circovirus_2_JX0301	Porcine circovirus 2	GCF_002819625.1		JX0301			1767	Sus scrofa	3048279	12431
NC_038311.1	rhinovirus_A1	rhinovirus A1	GCF_002816835.1		ATCC VR-1559			7137		3428501	12241
NC_074955.1	Paslahepevirus_balayani_NC_074955_1	Paslahepevirus balayani	GCF_002826225.1					7207		1678143	11595
NC_076565.1	Paslahepevirus_balayani_AlgSwe2012	Paslahepevirus balayani	GCF_023120075.1	AlgSwe2012				7002	Alces alces	1678143	11595
NC_076592.1	Paslahepevirus_balayani_little_egret_kocsag02_2014_HUN	Paslahepevirus balayani	GCF_023120345.1	little egret/kocsag02/2014/HUN				6660	Egretta garzetta	1678143	11595
NC_001489.1	Hepatovirus_A	Hepatovirus A	GCF_000860505.1					7478		3407641	11470
NC_006273.2	Human_betaherpesvirus_5	Human betaherpesvirus 5	GCF_000845245.1		Merlin			235646	Homo sapiens	3050295	11459
NC_015783.1	Torque_teno_virus_TTV_HD14a_gbDhDi33_32	Torque teno virus	GCF_000893775.1	TTV-HD14a (gbDhDi33.32)				3725		68887	11246
NC_076168.1	Torque_teno_virus_Human_Japan_KS025_2016	Torque teno virus	GCF_018580895.1		Human/Japan/KS025/2016			2810	Homo sapiens	68887	11246
NC_003310.1	Monkeypox_virus_Ia	Monkeypox virus	GCF_000857045.1		Zaire-96-I-16	Ia		196858	Homo sapiens	3431483	10762
NC_063383.1	Monkeypox_virus_IIb	Monkeypox virus	GCF_014621545.1	MPXV-M5312_HM12_Rivers		IIb		197209	Homo sapiens	3431483	10762
NC_001539.1	Canine_parvovirus	Canine parvovirus	GCF_000848925.1		CPV-N			5323		3052707	10670
NC_001806.2	Human_alphaherpesvirus_1	Human alphaherpesvirus 1	GCF_000859985.1		17			152222		3050292	10640
NC_001436.1	Human_T_cell_leukemia_virus_type_I	Human T-cell leukemia virus type I	GCF_000863585.1					8507		3428212	9893
NC_000858.1	Primate_T_lymphotropic_virus_1	Primate T-lymphotropic virus 1	GCF_000861125.1	Tan90				9028		3428212	9893
NC_018138.1	SFTS_virus_HB29_M	SFTS virus HB29	GCF_000897355.1		HB29		M	3378	Homo sapiens	2748958	9485
NC_018137.1	SFTS_virus_HB29_S	SFTS virus HB29	GCF_000897355.1		HB29		S	1744	Homo sapiens	2748958	9485
NC_018136.1	SFTS_virus_HB29_L	SFTS virus HB29	GCF_000897355.1		HB29		L	6368	Homo sapiens	2748958	9485
NC_043450.1	Severe_fever_with_thrombocytopenia_syndrome_virus_L	Severe fever with thrombocytopenia syndrome virus	GCF_003087855.1		HNXH		L	6255	Homo sapiens	2748958	9485
NC_043451.1	Severe_fever_with_thrombocytopenia_syndrome_virus_M	Severe fever with thrombocytopenia syndrome virus	GCF_003087855.1		HNXH		M	3336	Homo sapiens	2748958	9485
NC_043452.1	Severe_fever_with_thrombocytopenia_syndrome_virus_S	Severe fever with thrombocytopenia syndrome virus	GCF_003087855.1		HNXH		S	1681	Homo sapiens	2748958	9485
NC_001798.2	Human_alphaherpesvirus_2	Human alphaherpesvirus 2	GCF_000858385.1		HG52			154675	Homo sapiens	3050293	8900
NC_004162.2	Chikungunya_virus	Chikungunya virus	GCF_000854045.1		S27-African prototype			11826		3426298	8766
NC_003436.1	Porcine_epidemic_diarrhea_virus	Porcine epidemic diarrhea virus	GCF_000848685.1	CV777	CV777			28033		3433789	8565
NC_038878.1	Human_rhinovirus_NAT001	Human rhinovirus NAT001	GCF_002816885.1	NAT001				6944		3428504	8431
NC_004179.1	Infectious_bursal_disease_virus_UK661_B	Infectious bursal disease virus	GCF_000855485.1	UK661	Very virulent strain		B	2715	Gallus gallus	3048151	8182
NC_004178.1	Infectious_bursal_disease_virus_UK661_A	Infectious bursal disease virus	GCF_000855485.1	UK661	Very virulent strain		A	3183	Gallus gallus	3048151	8182
NC_077770.1	Infectious_bursal_disease_virus_1977_from_Schobries_et_al_1977_B	Infectious bursal disease virus	GCF_003971645.1	1977 from Schobries et al (1977)	P2		B	2827		3048151	8182
NC_077769.1	Infectious_bursal_disease_virus_1977_from_Schobries_et_al_1977_A	Infectious bursal disease virus	GCF_003971645.1	1977, from Schobries et al (1977)	P2		A	3261		3048151	8182
NC_001661.1	Citrus_tristeza_virus	Citrus tristeza virus	GCF_000862265.1					19296		3428013	7645
NC_001722.1	Human_immunodeficiency_virus_2	Human immunodeficiency virus 2	GCF_000856385.1	BEN				10359	Homo sapiens	3418651	7606
NC_038308.1	enterovirus_D68	enterovirus D68	GCF_002816725.1		Fermon			7367		3428506	7467
NC_003636.1	Peach_latent_mosaic_viroid	Peach latent mosaic viroid	GCF_000850605.1					337		3431559	7263
NC_038319.1	Human_parechovirus_1	Human parechovirus 1	GCF_002817305.1					7339		3431395	7163
NC_001897.1	Parechovirus_A	Parechovirus A	GCF_000861505.1	Gregory	Gregory	2		7348		3431395	7163
AC_000019.1	Human_adenovirus_35	Human adenovirus 35	GCF_000857885.1			35		34794		3241406	6742
AC_000018.1	Human_adenovirus_7	Human adenovirus 7	GCF_000859485.1			7		35514		3241406	6742
NC_011202.1	Human_mastadenovirus_B_Human_adenovirus_11	Human mastadenovirus B	GCF_000857085.1	Slobitski	Slobitski	Human adenovirus 11		34794	Homo sapiens	3241406	6742
NC_011203.1	Human_mastadenovirus_B_Human_adenovirus_3	Human mastadenovirus B	GCF_000880515.1	GB	GB	Human adenovirus 3		35343	Homo sapiens	3241406	6742
AC_000010.1	Simian_adenovirus_21	Simian adenovirus 21	GCF_000847245.1			Simian adenovirus 21		35524		3241406	6742
NC_002306.3	Feline_infectious_peritonitis_virus	Feline infectious peritonitis virus	GCF_000856025.1	79-1146		2		29355		3433814	6529
NC_028806.1	Swine_enteric_coronavirus	Swine enteric coronavirus	GCF_001501415.1		Italy/213306/2009			28111	Sus scrofa	3433814	6529
NC_038861.1	Transmissible_gastroenteritis_virus	Transmissible gastroenteritis virus	GCF_002985995.1	PUR46-MAD	Purdue			28586	Sus scrofa	3433814	6529
NC_004830.2	Deformed_wing_virus	Deformed wing virus	GCF_000852585.1					10140	Apis mellifera	3047792	6018
NC_006494.1	Varroa_destructor_virus_1	Varroa destructor virus 1	GCF_000856945.1					10112	Varroa destructor	3047792	6018
AC_000017.1	Human_adenovirus_1	Human adenovirus 1	GCF_000858645.1			1		36001		3241411	5960
AC_000007.1	Human_adenovirus_2	Human adenovirus 2	GCF_000859465.1			Human adenovirus type 2		35937		3241411	5960
AC_000008.1	Human_adenovirus_5	Human adenovirus 5	GCF_000857865.1			Human adenovirus type 5		35938		3241411	5960
NC_001405.1	Human_mastadenovirus_C	Human mastadenovirus C	GCF_000845085.1			Human adenovirus 2		35937	Homo sapiens	3241411	5960
NC_001699.1	JC_polyomavirus	JC polyomavirus	GCF_000863805.1		Mad1			5130		1891763	5927
NC_015126.1	Avian_orthoreovirus_AVS_B_L1	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		L1	3958		3431493	5869
NC_015135.1	Avian_orthoreovirus_AVS_B_S4	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		S4	1192		3431493	5869
NC_015127.1	Avian_orthoreovirus_AVS_B_L2	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		L2	3829		3431493	5869
NC_015128.1	Avian_orthoreovirus_AVS_B_L3	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		L3	3907		3431493	5869
NC_015133.1	Avian_orthoreovirus_AVS_B_S2	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		S2	1324		3431493	5869
NC_015134.1	Avian_orthoreovirus_AVS_B_S3	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		S3	1202		3431493	5869
NC_015129.1	Avian_orthoreovirus_AVS_B_M1	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		M1	2283		3431493	5869
NC_015130.1	Avian_orthoreovirus_AVS_B_M2	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		M2	2158		3431493	5869
NC_015131.1	Avian_orthoreovirus_AVS_B_M3	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		M3	1996		3431493	5869
NC_077759.1	Avian_orthoreovirus_Pycno_1_S1	Avian orthoreovirus	GCF_003092915.1		Pycno-1		S1	1637	Hypsipetes amaurotis	3431493	5869
NC_077751.1	Avian_orthoreovirus_Pycno_1_M3	Avian orthoreovirus	GCF_003092915.1		Pycno-1		M3	2039	Hypsipetes amaurotis	3431493	5869
NC_077756.1	Avian_orthoreovirus_Pycno_1_L3	Avian orthoreovirus	GCF_003092915.1		Pycno-1		L3	3903	Hypsipetes amaurotis	3431493	5869
NC_002051.1	Orthotospovirus_tomatomaculae_S	Orthotospovirus tomatomaculae	GCF_000854725.1	CPNH9			S	2916		3052585	5676
NC_002050.1	Orthotospovirus_tomatomaculae_M	Orthotospovirus tomatomaculae	GCF_000854725.1				M	4821		3052585	5676
NC_002052.1	Orthotospovirus_tomatomaculae_L	Orthotospovirus tomatomaculae	GCF_000854725.1		BR-01 (CNPH1)		L	8897		3052585	5676
NC_006554.1	Sapovirus_C12	Sapovirus C12	GCF_000855765.1		C12			7476		3432266	5658
NC_006269.1	Sapovirus_Hu_Dresden_pJG_Sap01_DE	Sapovirus Hu/Dresden/pJG-Sap01/DE	GCF_000854265.1		Hu/Dresden/pJG-Sap01/DE			7429		3432266	5658
NC_075724.1	Sapovirus_Hu_GI_Sapporo_MT_2010_1982	Sapovirus Hu/GI/Sapporo/MT-2010/1982	GCF_008792745.1		Hu/GI/Sapporo/MT-2010/1982			7433	Homo sapiens	3432266	5658
NC_010624.1	Sapovirus_Mc10	Sapovirus Mc10	GCF_000853825.1		Mc10			7458		3432266	5658
NC_007570.1	Rotavirus_C_5	Rotavirus C	GCF_000864225.1	4077-89	Bristol		5	1353		3432203	5622
NC_007545.1	Rotavirus_C_9	Rotavirus C	GCF_000864225.1	Bristol	Bristol		9	1037		3432203	5622
NC_007547.1	Rotavirus_C_1	Rotavirus C	GCF_000864225.1	Bristol	Bristol		1	3309		3432203	5622
NC_007571.1	Rotavirus_C_8	Rotavirus C	GCF_000864225.1	Bristol			8	1063		3432203	5622
NC_007543.1	Rotavirus_C_6	Rotavirus C	GCF_000864225.1	Bristol	Bristol		6	1350		3432203	5622
NC_007546.1	Rotavirus_C_2	Rotavirus C	GCF_000864225.1	Bristol	Bristol		2	2736		3432203	5622
NC_007574.1	Rotavirus_C_4	Rotavirus C	GCF_000864225.1	Bristol	Bristol		4	2166		3432203	5622
NC_001710.1	GB_virus_C	GB virus C	GCF_000862005.1					9392		3052608	5518
NC_038272.1	Bovine_respiratory_syncytial_virus_ATCC51908	Bovine respiratory syncytial virus ATCC51908	GCF_002815455.1		ATCC 51908			15140		3050248	5236
NC_001989.1	bovine_respiratory_syncytial_virus	bovine respiratory syncytial virus	GCF_000849305.1		ATue51908			15140		3050248	5236
NC_005301.3	Orthonairovirus_haemorrhagiae_L	Orthonairovirus haemorrhagiae	GCF_000854165.1		IbAr10200		L	12108		3052518	5079
NC_005302.1	Orthonairovirus_haemorrhagiae_S	Orthonairovirus haemorrhagiae	GCF_000854165.1		10200		S	1672		3052518	5079
NC_005300.2	Orthonairovirus_haemorrhagiae_M	Orthonairovirus haemorrhagiae	GCF_000854165.1		IbAr10200		M	5366	Hyalomma excavatum	3052518	5079
NC_009333.1	Human_gammaherpesvirus_8	Human gammaherpesvirus 8	GCF_000838265.1		GK18			137969	Homo sapiens	3050300	5041
NC_006213.1	Human_coronavirus_OC43	Human coronavirus OC43	GCF_003972325.1		ATCC VR-759	OC43		30741		3433757	4975
NC_001616.1	Potato_virus_Y	Potato virus Y	GCF_000862905.1					9704		3240642	4658
NC_040671.1	Adeno_associated_virus	Adeno-associated virus	GCF_004129875.1	MHH-05-2015				4857	Cairina moschata	272636	4601
NC_036469.1	Piscine_orthoreovirus_M1	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			M1	2383	Salmo salar	3431498	4499
NC_036471.1	Piscine_orthoreovirus_M3	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			M3	2403	Salmo salar	3431498	4499
NC_036470.1	Piscine_orthoreovirus_M2	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			M2	2179	Salmo salar	3431498	4499
NC_036473.1	Piscine_orthoreovirus_S2	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			S2	1329	Salmo salar	3431498	4499
NC_036468.1	Piscine_orthoreovirus_L2	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			L2	3934	Salmo salar	3431498	4499
NC_036474.1	Piscine_orthoreovirus_S3	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			S3	1141	Salmo salar	3431498	4499
NC_036472.1	Piscine_orthoreovirus_S1	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			S1	1081	Salmo salar	3431498	4499
NC_036477.1	Piscine_orthoreovirus_L3	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			L3	3916	Salmo salar	3431498	4499
NC_036476.1	Piscine_orthoreovirus_L1	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			L1	3911	Salmo salar	3431498	4499
NC_036475.1	Piscine_orthoreovirus_S4	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			S4	1040	Salmo salar	3431498	4499
NC_001538.1	Betapolyomavirus_hominis	Betapolyomavirus hominis	GCF_000837865.1					5153		1891762	4471
NC_002657.1	Classical_swine_fever_virus	Classical swine fever virus	GCF_000864685.1		strain Eystrup			12301		3052625	4366
NC_038912.1	Classical_swine_fever_virus_Alfort_187	Classical swine fever virus - Alfort/187	GCF_003034095.1		Alfort/187			12298		3052625	4366
NC_001653.2	Hepatitis_delta_virus_NC_001653_2	Hepatitis delta virus	GCF_000856565.1					1682		2844074	4223
NC_076106.1	Hepatitis_delta_virus_dFr2072	Hepatitis delta virus	GCF_018547915.1	dFr2072	dFr2072			1681		2844074	4223
NC_076107.1	Hepatitis_delta_virus_dFr2005	Hepatitis delta virus	GCF_018547925.1	dFr2005	dFr2005			1687		2844074	4223
NC_076108.1	Hepatitis_delta_virus_dFr2158	Hepatitis delta virus	GCF_018547935.1	dFr2158	dFr2158			1674		2844074	4223
NC_076110.1	Hepatitis_delta_virus_NC_076110_1	Hepatitis delta virus	GCF_018547955.1					1687		2844074	4223
NC_059681.1	hepatitis_D_virus_1	hepatitis D virus 1	GCF_018547865.1		TW2667			1676		2844074	4223
NC_001545.2	Rubella_virus_F_Therien	Rubella virus	GCF_000863025.1		F-Therien			9762		2846071	4189
NC_076948.1	Rubella_virus_RVi_Bismarck_ND_USA_23_08_2B	Rubella virus	GCF_024749945.1		RVi/Bismarck.ND.USA/23.08/2B			9761	Homo sapiens	2846071	4189
NC_001414.1	Bovine_leukemia_virus	Bovine leukemia virus	GCF_000853665.1					8419		3428211	4180
NC_000883.2	Human_parvovirus_B19	Human parvovirus B19	GCF_000839645.1	J35				5596		3052189	4123
NC_001357.1	human_papillomavirus_18	human papillomavirus 18	GCF_000865665.1					7857		337042	4009
NC_001437.1	Japanese_encephalitis_virus	Japanese encephalitis virus	GCF_000862145.1					10976		3048158	3931
NC_001796.2	Human_respirovirus_3_NC_001796_2	Human respirovirus 3	GCF_000850205.1					15462		3049953	3890
NC_075446.1	Human_respirovirus_3_Guangzhou	Human respirovirus 3	GCF_006298365.1	Guangzhou	ZHYMgz01			15462		3049953	3890
NC_038270.1	Simian_Agent_10	Simian Agent 10	GCF_002815255.1					15462	Cercopithecus mitis	3049953	3890
NC_002549.1	Zaire_ebolavirus	Zaire ebolavirus	GCF_000848505.1	Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga				18959		3052462	3884
NC_001921.1	canine_distemper_virus	canine distemper virus	GCF_000854065.1	Onderstpoort				15690		3052342	3865
NC_001454.1	Human_mastadenovirus_F	Human mastadenovirus F	GCF_000846685.1	Dugan	Dugan	Human adenovirus 40		34214	Homo sapiens	3241426	3509
NC_001672.1	Tick_borne_encephalitis_virus	Tick-borne encephalitis virus	GCF_000863125.1					11141	Mus musculus	3052465	3500
NC_006016.1	Orbivirus_alphaequi_8	Orbivirus alphaequi	GCF_000856125.1		serotype 9		8	1166		40050	3236
NC_006009.1	Orbivirus_alphaequi_10	Orbivirus alphaequi	GCF_000856125.1			3	10	758		40050	3236
NC_006011.1	Orbivirus_alphaequi_7	Orbivirus alphaequi	GCF_000856125.1			4	7	1179		40050	3236
NC_006012.1	Orbivirus_alphaequi_4	Orbivirus alphaequi	GCF_000856125.1			4	4	1978		40050	3236
NC_006017.1	Orbivirus_alphaequi_3	Orbivirus alphaequi	GCF_000856125.1				3	2792		40050	3236
NC_006021.1	Orbivirus_alphaequi_1	Orbivirus alphaequi	GCF_000856125.1			9	1	3965		40050	3236
NC_006020.1	Orbivirus_alphaequi_5	Orbivirus alphaequi	GCF_000856125.1			6	5	1748		40050	3236
NC_004005.1	Tomato_yellow_leaf_curl_virus	Tomato yellow leaf curl virus	GCF_000858205.1	Almeria				2781	Capsicum annuum	3426741	3149
NC_012959.1	Human_adenovirus_54	Human adenovirus 54	GCF_000885675.1	Kobe-H	Kobe-H			34920		3241420	3136
AC_000006.1	Human_mastadenovirus_D_Human_adenovirus_type_17	Human mastadenovirus D	GCF_000858625.1			Human adenovirus type 17		35100		3241420	3136
NC_055058.1	Leviviridae_sp_AVE007	Leviviridae sp.	GCF_014131365.1	AVE007				3580	Macaca mulatta	2027243	3093
NC_074553.1	Leviviridae_sp_AVE006	Leviviridae sp.	GCF_018580575.1	AVE006				3609	Macaca mulatta	2027243	3093
NC_005777.1	Oropouche_virus_S	Oropouche virus	GCF_000853785.1				S	754		3052429	2989
NC_005776.1	Oropouche_virus_L	Oropouche virus	GCF_000853785.1				L	6846		3052429	2989
NC_005775.1	Oropouche_virus_M	Oropouche virus	GCF_000853785.1		BeAn19991		M	4385		3052429	2989
NC_002030.1	Potato_spindle_tuber_viroid	Potato spindle tuber viroid	GCF_000856265.1					359		3431858	2967
NC_001445.1	Plum_pox_virus	Plum pox virus	GCF_000862085.1	PPV-NAT				9741		3240600	2878
NC_031753.1	Porcine_circovirus_3	Porcine circovirus 3	GCF_001866935.1		29160			2000	Sus scrofa	3048280	2836
